# {"t_start": 1661443862.23993, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,0.211157
0.0,125,0.44636
1.0,176,0.730689
1.0,176,1.054982
2.0,200,1.427289
0.0,127,1.660259
1.0,157,1.971424
2.0,202,2.316402
13.0,567,3.289313
0.0,125,3.495658
1.0,173,3.832938
6.0,376,4.420712
0.0,127,4.626357
5.0,349,5.173867
4.0,269,5.643378
2.0,198,5.955517
1.0,153,6.19269
0.0,127,6.391159
1.0,173,6.673654
1.0,153,6.944696
1.0,157,7.197682
1.0,175,7.476196
4.0,257,7.901604
2.0,221,8.294645
1.0,153,8.571728
1.0,173,8.880489
1.0,175,9.210352
7.0,381,9.888931
0.0,129,10.161144
2.0,223,10.549004
0.0,129,10.770028
0.0,129,10.983753
1.0,172,11.25991
3.0,221,11.685393
1.0,173,11.921477
4.0,296,12.493307
0.0,125,12.698068
1.0,174,12.98238
3.0,248,13.396432
0.0,125,13.624686
4.0,301,14.114557
2.0,199,14.430648
0.0,127,14.625111
0.0,127,14.859026
8.0,374,15.508288
0.0,127,15.717808
2.0,202,16.08112
4.0,319,16.573547
2.0,199,16.948999
2.0,202,17.310925
1.0,175,17.6741
2.0,222,18.061804
1.0,155,18.379212
3.0,234,18.799797
2.0,204,19.146461
1.0,173,19.394379
4.0,280,19.841233
3.0,228,20.213606
2.0,222,20.558267
2.0,186,20.877255
2.0,198,21.211051
2.0,202,21.540845
2.0,220,21.935682
0.0,125,22.153485
1.0,171,22.424138
0.0,129,22.649703
2.0,204,23.036633
2.0,222,23.492354
0.0,125,23.698714
0.0,123,23.934411
3.0,232,24.318684
0.0,125,24.494889
3.0,252,24.908087
2.0,220,25.227805
1.0,172,25.484453
7.0,408,26.161437
3.0,270,26.557353
1.0,153,26.850222
1.0,174,27.123736
1.0,155,27.382153
2.0,186,27.713715
1.0,173,28.043074
3.0,269,28.429938
0.0,127,28.635367
1.0,157,28.912233
0.0,127,29.157558
2.0,226,29.517546
0.0,125,29.71312
0.0,125,29.934983
3.0,248,30.309684
1.0,177,30.592847
4.0,292,31.050215
3.0,255,31.493502
0.0,127,31.709294
3.0,272,32.124043
4.0,283,32.567813
0.0,127,32.81932
0.0,125,33.020924
1.0,173,33.313162
1.0,155,33.555795
2.0,202,33.871215
1.0,174,34.188045
3.0,250,34.611884
5.0,335,35.132207
1.0,175,35.412851
1.0,155,35.666925
2.0,200,36.013822
1.0,173,36.297817
4.0,300,36.78009
4.0,319,37.368998
4.0,258,37.748233
0.0,123,37.945787
3.0,249,38.369091
3.0,249,38.817775
4.0,311,39.304166
2.0,200,39.693629
1.0,173,39.978173
4.0,300,40.497014
0.0,125,40.685155
0.0,127,40.89772
0.0,129,41.091714
0.0,129,41.306089
1.0,178,41.661489
0.0,127,41.880155
1.0,154,42.166378
0.0,125,42.390035
0.0,123,42.605327
2.0,220,42.964408
2.0,219,43.440866
3.0,248,43.883376
0.0,125,44.092132
0.0,127,44.362404
2.0,202,44.663819
2.0,202,45.019355
1.0,171,45.32914
0.0,127,45.508859
5.0,345,46.071181
3.0,270,46.489678
4.0,296,46.988044
1.0,173,47.297628
1.0,169,47.552889
0.0,125,47.736878
7.0,430,48.506839
1.0,174,48.784361
0.0,129,49.015222
0.0,125,49.230281
5.0,374,49.806624
0.0,123,50.012435
0.0,129,50.231126
4.0,301,50.756417
3.0,269,51.212631
4.0,297,51.679117
1.0,175,52.047292
1.0,153,52.267293
7.0,452,52.929325
1.0,153,53.19187
0.0,127,53.378513
0.0,125,53.559698
1.0,169,53.834333
0.0,127,54.044914
0.0,123,54.253387
0.0,125,54.457661
3.0,249,54.88019
2.0,220,55.265859
0.0,123,55.47627
1.0,171,55.798702
4.0,302,56.242582
3.0,233,56.607602
0.0,127,56.849143
1.0,155,57.12277
1.0,171,57.421669
0.0,129,57.67633
0.0,127,57.882243
0.0,129,58.101076
3.0,235,58.466933
3.0,250,58.894502
2.0,220,59.254491
1.0,155,59.517263
2.0,220,59.89063
5.0,320,60.41186
0.0,127,60.604717
2.0,183,60.900486
0.0,127,61.102309
1.0,151,61.353724
1.0,173,61.602363
2.0,220,61.956464
0.0,129,62.146562
4.0,279,62.571197
0.0,127,62.763443
3.0,253,63.148229
2.0,200,63.471264
0.0,125,63.681154
0.0,127,63.897112
3.0,250,64.31337
1.0,155,64.622472
1.0,175,64.924173
0.0,127,65.148418
1.0,155,65.423468
0.0,127,65.63494
1.0,155,65.904757
4.0,279,66.481349
3.0,248,66.940537
4.0,285,67.401343
2.0,218,67.759487
1.0,155,68.217449
4.0,277,68.676721
0.0,127,68.856174
7.0,378,69.524136
1.0,177,69.822255
0.0,129,70.034334
2.0,200,70.378884
0.0,129,70.59814
0.0,125,70.780354
0.0,125,70.963919
2.0,222,71.369848
1.0,175,71.654095
0.0,127,71.847759
2.0,220,72.220363
1.0,171,72.484183
0.0,127,72.693508
0.0,127,72.97459
0.0,129,73.177962
3.0,230,73.586557
